Q9Y5Y6|DB00013|Urokinase
P22888|DB00014|Goserelin
P16473|DB00024|Thyrotropin alfa
P00740|DB00025|"Antihemophilic factor, human recombinant"
P0C0L5|DB00028|Human immunoglobulin G
P22888|DB00032|Menotropins
O95838|DB00040|Glucagon
Q01362|DB00043|Omalizumab
P22888|DB00044|Lutropin alfa
P22888|DB00050|Cetrorelix
P00450|DB00055|Drotrecogin alfa
P07339|DB00071|Insulin pork
P14735|DB00071|Insulin pork
Q04609|DB00089|Capromab pendetide
P22888|DB00097|Choriogonadotropin alfa
Q9Y617|DB00114|Pyridoxal phosphate
O95470|DB00114|Pyridoxal phosphate
P22557|DB00114|Pyridoxal phosphate
P20132|DB00114|Pyridoxal phosphate
P17174|DB00114|Pyridoxal phosphate
P32929|DB00114|Pyridoxal phosphate
Q16719|DB00114|Pyridoxal phosphate
P06737|DB00114|Pyridoxal phosphate
Q96A70|DB00114|Pyridoxal phosphate
Q8IYQ7|DB00114|Pyridoxal phosphate
Q8IUZ5|DB00114|Pyridoxal phosphate
Q8N5Z0|DB00114|Pyridoxal phosphate
P23378|DB00114|Pyridoxal phosphate
Q8TD30|DB00114|Pyridoxal phosphate
P80404|DB00114|Pyridoxal phosphate
Q6ZQY3|DB00114|Pyridoxal phosphate
P17735|DB00114|Pyridoxal phosphate
Q9HD40|DB00114|Pyridoxal phosphate
P04181|DB00114|Pyridoxal phosphate
Q96EN8|DB00114|Pyridoxal phosphate
P54687|DB00114|Pyridoxal phosphate
Q6WRI0|DB00114|Pyridoxal phosphate
Q9Y4U1|DB00115|Cyanocobalamin
Q8IVH4|DB00115|Cyanocobalamin
P22033|DB00115|Cyanocobalamin
Q00266|DB00118|Ademetionine
Q9HBK9|DB00118|Ademetionine
P11498|DB00119|Pyruvic acid
P80404|DB00119|Pyruvic acid
Q9NSD9|DB00120|Phenylalanine
P17735|DB00120|Phenylalanine
Q96RQ3|DB00121|Biotin
P11498|DB00121|Biotin
Q9HCC0|DB00121|Biotin
P05165|DB00121|Biotin
P09848|DB00126|Ascorbic acid
P09172|DB00126|Ascorbic acid
O00469|DB00126|Ascorbic acid
Q02809|DB00126|Ascorbic acid
O75936|DB00126|Ascorbic acid
P17174|DB00128|Aspartic acid
P22234|DB00128|Aspartic acid
Q9UJS0|DB00128|Aspartic acid
P45381|DB00128|Aspartic acid
P08243|DB00128|Aspartic acid
Q8N142|DB00128|Aspartic acid
P50440|DB00129|Ornithine
P04181|DB00129|Ornithine
P78540|DB00129|Ornithine
P05089|DB00129|Ornithine
Q06203|DB00130|L-Glutamine
P49773|DB00131|Adenosine phosphate
Q9NR19|DB00131|Adenosine phosphate
P06737|DB00131|Adenosine phosphate
Q9NUB1|DB00131|Adenosine phosphate
P55263|DB00131|Adenosine phosphate
P32418|DB00132|alpha-Linolenic acid
Q8NER1|DB00132|alpha-Linolenic acid
P17735|DB00135|Tyrosine
Q07837|DB00138|Cystine
P51649|DB00139|Succinic acid
P55809|DB00139|Succinic acid
P53597|DB00139|Succinic acid
Q9BYC2|DB00139|Succinic acid
Q02809|DB00139|Succinic acid
Q9P2R7|DB00139|Succinic acid
O75936|DB00139|Succinic acid
Q13183|DB00139|Succinic acid
P15291|DB00141|N-Acetylglucosamine
P54802|DB00141|N-Acetylglucosamine
Q9Y617|DB00142|Glutamic acid
Q9UI32|DB00142|Glutamic acid
Q8N159|DB00142|Glutamic acid
O14841|DB00142|Glutamic acid
Q14833|DB00142|Glutamic acid
Q16099|DB00142|Glutamic acid
P17174|DB00142|Glutamic acid
O00222|DB00142|Glutamic acid
Q13003|DB00142|Glutamic acid
Q9ULK0|DB00142|Glutamic acid
Q9Y646|DB00142|Glutamic acid
Q8N5Z0|DB00142|Glutamic acid
Q9UDR5|DB00142|Glutamic acid
Q04609|DB00142|Glutamic acid
Q8TD30|DB00142|Glutamic acid
P08243|DB00142|Glutamic acid
Q9ULA0|DB00142|Glutamic acid
P80404|DB00142|Glutamic acid
O75879|DB00142|Glutamic acid
Q6IA69|DB00142|Glutamic acid
P17735|DB00142|Glutamic acid
P49448|DB00142|Glutamic acid
Q07075|DB00142|Glutamic acid
O43424|DB00142|Glutamic acid
P54687|DB00142|Glutamic acid
P19440|DB00143|Glutathione
P15121|DB00143|Glutathione
P00390|DB00143|Glutathione
P10768|DB00143|Glutathione
Q16760|DB00144|Phosphatidyl serine
Q9Y2Q0|DB00144|Phosphatidyl serine
P49619|DB00144|Phosphatidyl serine
Q8WTV0|DB00144|Phosphatidyl serine
Q9BVG9|DB00144|Phosphatidyl serine
P22557|DB00145|Glycine
Q14032|DB00145|Glycine
P23378|DB00145|Glycine
P41250|DB00145|Glycine
P50440|DB00145|Glycine
P17540|DB00148|Creatine
P17174|DB00151|Cysteine
P32929|DB00151|Cysteine
O95180|DB00153|Ergocalciferol
Q7Z3S7|DB00153|Ergocalciferol
Q8IZS8|DB00153|Ergocalciferol
Q15878|DB00153|Ergocalciferol
Q6TGC4|DB00155|Citrulline
Q9ULW8|DB00155|Citrulline
Q9BW92|DB00156|Threonine
Q8IYQ7|DB00156|Threonine
P51649|DB00157|NADH
Q13423|DB00157|NADH
P05091|DB00157|NADH
O60701|DB00157|NADH
O94788|DB00157|NADH
P14060|DB00157|NADH
P00325|DB00157|NADH
P14679|DB00157|NADH
P49189|DB00157|NADH
Q08426|DB00157|NADH
Q02252|DB00157|NADH
Q16798|DB00157|NADH
P30838|DB00157|NADH
P08319|DB00157|NADH
P30038|DB00157|NADH
P47895|DB00157|NADH
P48448|DB00157|NADH
Q9UDR5|DB00157|NADH
P20839|DB00157|NADH
P43353|DB00157|NADH
P15121|DB00157|NADH
Q00796|DB00157|NADH
P04035|DB00157|NADH
Q13630|DB00157|NADH
P49419|DB00157|NADH
P23368|DB00157|NADH
O14556|DB00157|NADH
P11586|DB00157|NADH
P51659|DB00157|NADH
P51648|DB00157|NADH
P49448|DB00157|NADH
Q6ZMR3|DB00157|NADH
P00390|DB00157|NADH
P40394|DB00157|NADH
Q9UBM7|DB00157|NADH
P32418|DB00159|Icosapent
Q8NER1|DB00159|Icosapent
P23219|DB00159|Icosapent
P54687|DB00161|Valine
O94788|DB00162|Vitamin A
Q8TC12|DB00162|Vitamin A
Q9HBH5|DB00162|Vitamin A
Q6NUM9|DB00162|Vitamin A
P47895|DB00162|Vitamin A
P23743|DB00163|Vitamin E
Q9UDX3|DB00163|Vitamin E
Q9UDX4|DB00163|Vitamin E
Q9Y234|DB00166|Lipoic acid
O43766|DB00166|Lipoic acid
P00740|DB00170|Menadione
P22891|DB00170|Menadione
Q9BY49|DB00173|Adenine
Q13126|DB00173|Adenine
Q96I59|DB00174|Asparagine
P08243|DB00174|Asparagine
Q99624|DB00174|Asparagine
O43776|DB00174|Asparagine
P04035|DB00175|Pravastatin
P27338|DB00182|Amphetamine
P27338|DB00182|Amphetamine
P21397|DB00182|Amphetamine
P11511|DB00184|Nicotine
P43681|DB00184|Nicotine
P17787|DB00184|Nicotine
Q15822|DB00184|Nicotine
Q8N1C3|DB00186|Lorazepam
P47869|DB00186|Lorazepam
P48169|DB00186|Lorazepam
Q8N1C3|DB00189|Ethchlorvynol
P47869|DB00189|Ethchlorvynol
P48169|DB00189|Ethchlorvynol
P27338|DB00191|Phentermine
P21397|DB00191|Phentermine
