MP,Human
Q8V4Y0,P08F94
Q8V4Y0,Q8IVV2
Q8V4Y0,O43451
Q8V4Y0,Q9BQT9
Q8V4Y0,Q14571
Q8V4Y0,Q6MZM0
Q8V4Y0,C0HM02
Q8V4Y0,P54296
Q8V4Y0,P56199
Q8V4Y0,A6NMZ7
Q8V4Y0,Q9Y2K9
Q8V4Y0,Q8NFA0
Q8V4Y0,Q6V0I7
Q8V4Y0,Q8TDJ6
Q8V4Y0,P02729
Q8V4Y0,Q5TA77
Q8V4Y0,A3KN83
Q8V4Y0,Q9NT68
Q8V4Y0,Q9HC56
Q8V4Y0,Q5T5A8
Q8V4Y0,Q156A1
Q8V4Y0,Q96N67
Q8V4Y0,P0DPI4
Q8V4Y0,Q12791
Q8V4Y0,A0A0J9YX06
Q8V4Y0,Q9NZR2
Q8V4Y0,P56715
Q8V4Y0,Q5CZC0
Q8V4Y0,P32418
Q8V4Y0,Q9Y2I7
Q8V4Y0,Q8WXG9
Q8V4Y0,Q53EP0
Q8V4Y0,Q6V1P9
Q8V4Y0,P58397
Q8V4Y0,P02728
Q8V4Y0,Q9UKZ4
Q8V4Y0,Q2LD37
Q8V4Y0,Q9BQS7
Q8V4Y0,Q9NZM1
Q8V4Y0,O75578
Q8V4Y0,Q9HC10
Q8V4Y0,Q7Z333
Q8V4Y0,Q6YHK3
Q8V4Y0,O75051
Q8V4Y0,P36888
Q8V4Y0,A6NKB5
Q8V4Y0,Q6SJ93
Q8V4Y0,P0DOY5
Q8V4Y0,P35125
Q8V4Y0,Q15652
Q8V4Y0,Q14517
Q8V4Y0,Q9Y462
Q8V4Y0,P62945
Q8V4Y0,P22103
Q8V4Y0,Q96QT4
Q8V4Y0,P0DPR3
Q8V4Y0,P01358
Q8V4Y0,Q9ULH0
Q8V4Y0,O60522
Q8V4Y0,O75445
Q8V4Y0,Q8WZ64
Q8V4Y0,P15144
Q8V4Y0,P01858
Q8V4Y0,Q9BXP8
Q8V4Y0,Q5TA76
Q8V4Y0,Q0VDD8
Q8V4Y0,Q8WXI7
Q8V571,Q9BXT5
Q8V571,Q8NDH2
Q8V571,P0DPF2
P04363,P09848
P04363,O43570
P04363,Q9ULP9
P04363,Q8IYD2
P04363,Q6IQ26
P04363,Q9NVE7
P04363,O00116
P04363,Q9NY15
P04363,Q9Y234
P04363,O43252
P04363,Q5XX13
P04363,Q8IXL6
P04363,Q7Z4N8
P04363,Q8N6C5
P04363,P35914
P04363,P28330
P04363,Q96A23
P04363,P82279
P04363,P27338
P04363,O60543
P04363,Q7Z4W1
P04363,P69849
P04363,Q9Y617
P04363,Q3MIP1
P04363,O95180
P04363,P43251
P04363,Q96M93
P04363,Q96DU9
P04363,Q9UJT1
P04363,Q9UI17
P04363,Q86UE6
P04363,Q9UBR1
P04363,Q9UBB4
P04363,Q9BZ19
P04363,P22310
P04363,Q96K83
P04363,Q9P2L0
P04363,A2RUT3
P04363,Q9Y2D0
P04363,Q6ZS81
P04363,Q9UPE1
P04363,P51857
P04363,Q6UWH4
P04363,Q8ND90
P04363,Q9BXI6
P04363,Q9UNX9
P04363,A6NFY4
P04363,Q9NYU2
