Column1,Column2
Q14451,P04626
Q14451,P10721
Q14451,P21860
Q14451,Q05397
Q14451,P07949
P04626,P78352
P04626,O00459
P04626,Q99952
P04626,Q9UJM3
P04626,P62993
P04626,P35222
P04626,Q06124
P04626,Q15303
P04626,P00533
P04626,P07900
P04626,P15941
P04626,P27986
P04626,P19174
P04626,P12931
P04626,P21860
P04626,P29353
P04626,Q05397
P04626,Q14289
P04626,P40763
P04626,P16070
P04626,Q05209
P04626,Q13882
P04626,P02786
P04626,O95292
P04626,P05023
P04626,P22681
P78352,P17252
P78352,P35609
P78352,Q92796
P78352,P98164
P78352,P08588
P78352,P78559
P78352,Q16478
P78352,Q15303
P78352,P63167
P78352,O15399
P78352,Q9UPX8
P78352,O14964
P78352,Q8N2Q7
P78352,Q9C0C4
P78352,P22460
P78352,Q9P1A6
P78352,O14490
P78352,Q05586
P78352,Q09470
P78352,P16389
P78352,Q13224
P78352,Q13002
P78352,Q9P021
P78352,Q9Y698
P78352,P22459
P78352,Q12879
P78352,P39086
P78352,Q14957
P78352,P29475
P78352,Q96A65
O00459,P10721
O00459,P22681
O00459,P62993
O00459,P46109
O00459,O00329
O00459,P00533
O00459,P21860
O00459,P06241
O00459,P49407
O00459,P42338
O00459,P42336
O00459,P46108
Q99952,O43586
Q99952,P00533
Q9HAU4,Q13017
Q9HAU4,Q15796
Q9HAU4,Q15797
Q9HAU4,O15105
Q9HAU4,P84022
Q9HAU4,Q9Y3C5
Q9HAU4,Q9BUZ4
Q9HAU4,Q99717
Q9HAU4,P68036
Q9UJM3,P00533
Q9UJM3,P62993
Q9UGL1,P55316
Q9UGL1,P55771
P55316,O75593
P22681,P15498
P22681,P07948
P22681,P19174
P22681,P43403
P22681,P00519
P22681,P12931
P22681,Q06187
P22681,Q96B97
P22681,P43405
P22681,P16333
P22681,P29353
P22681,O15357
P22681,Q13239
P22681,Q13094
P22681,P46109
P22681,O43597
P22681,P62837
P22681,P68036
P22681,Q9Y5K6
P22681,Q9BX66
P22681,Q9H6Q3
P22681,Q8WU20
P22681,Q8TF42
P22681,P62993
P22681,P31946
P22681,P63104
P22681,P17252
P22681,P35968
P22681,O14492
P22681,O94875
P22681,P27986
P22681,P00533
P22681,P06241
P22681,P08631
P22681,P27348
P22681,P06239
P22681,P07949
P22681,P46108
P22681,P07333
P22681,P08581
P22681,P42336
P22681,Q14155
P22681,P78314
P22681,Q99962
P22681,P41240
P22681,P51668
P22681,P17948
P22681,Q04912
P22681,Q15811
P15498,P19174
P15498,P16471
P15498,P43405
P15498,P61978
P15498,Q13239
P15498,Q14289
P15498,Q15910
P15498,Q13094
P15498,P78314
P15498,O43255
P15498,O43561
