Column1,Column2
P53634,O95819
O95985,P50570
Q32P44,P26951
Q5H9E4,P81133
Q9NQ29,P21980
Q8V4V4,Q8WYQ5
P40200,Q9BSJ2
Q9HD42,Q03933
Q96HE7,Q9Y6B7
O95685,P14174
Q96DN0,P13010
P51580,P21453
Q99081,P20273
O14737,Q99653
O14746,Q9H568
P07237,Q13283
Q53EP0,O94788
O60486,Q6ZN30
Q02153,Q9GZV5
P43166,Q03405
Q92843,Q9Y266
Q8N5H7,Q6ZNA4
Q6NZY7,O43187
Q5VU65,O75528
Q13415,O94805
O95425,Q9NPF7
P62266,Q14108
Q69YN2,O75054
P62249,P08833
Q9UMZ2,P21854
P30154,P04844
Q32MH5,Q9BZD4
Q6NYC8,P0CG30
Q9UPY8,Q3MII6
P06454,Q9Y5N6
Q15036,Q9NRY2
O14787,P57796
Q00887,P00558
Q3SXY7,Q9Y5Z7
Q15785,O75593
Q9H6Q3,P02763
P43403,Q96KQ7
Q9UI33,Q6ZWH5
Q2LD37,P09683
O15318,O75928
Q92546,Q15654
Q9C004,Q16799
Q8IZJ3,P37023
Q8TBC3,Q93084
Q8WUT9,Q13505
Q14108,A4FU69
Q99985,Q9P0L0
O75293,P33260
Q96QF0,P02746
O00451,Q9NR55
P07996,Q6PIU1
Q9P0N9,Q9NZR2
Q01970,Q9H8W5
Q9GZV8,Q9UGP5
Q9XRX5,Q96MN2
Q9NSK0,Q96S96
P31151,O75586
Q6PKG0,Q8ND25
P23771,Q9BUB7
P59510,O60583
P60660,P49821
A8MVW5,Q05639
P16333,Q00610
P55317,Q99873
Q9P2F6,O43896
Q9Y616,Q9BYV2
Q99959,Q8NHZ8
P51888,Q9BVI4
P51679,Q53EL6
P12544,Q13621
P06702,O95997
Q8NHJ6,Q14116
Q15052,P13726
Q86U42,Q76L83
P30556,P68431
Q7L2E3,Q9P0V8
P62942,Q8WVK2
O43741,Q8NFH8
P55072,Q6NUI6
Q13564,Q9NZS9
P42262,Q9Y3P9
Q96MT7,Q8IU80
P07384,Q02156
Q92539,Q96NY7
Q13563,P43686
Q9BXW9,Q99719
P27986,P51884
Q8WVM8,Q9UKV8
Q9Y234,Q9H6R7
Q9NYV6,Q13608
Q16625,Q15555
Q06710,Q33E94
P00505,O75648
Q66K89,P40227
P07477,Q15036
Q9UJT2,Q9GZZ9
P42166,Q9NX70
Q96FN4,Q13554
P39748,Q9Y6Y9
Q96JZ2,Q70EK9
Q15833,P04049
Q9H4E5,Q9UBV8
Q92777,Q8WVB6
P56539,O60218
Q92540,Q13936
Q9NVR7,P07204
P14678,Q3ZCT8
Q9C0B7,Q8WYK0
Q02930,Q8WZ19
P28799,Q8IWR0
O00443,P19105
P84095,Q6P179
Q86UW9,P07602
Q9NZU7,Q9Y281
Q6PH85,Q8TEK3
O75791,Q66K14
P62328,Q99961
Q9UMS4,P43005
P02786,P42658
Q14596,Q9HAV5
P62310,P37108
Q8WUA2,Q9Y2V7
Q08499,Q6UXT9
Q9NQR4,P55895
Q6IBW4,Q06481
Q96MN2,Q6ZRH7
Q9UPQ9,Q9UQF2
P20042,P22307
P51571,P22888
Q13049,Q96L14
Q9Y2X8,Q5TD97
P10071,Q7Z3Z3
P31942,P14679
Q13523,Q9UBS0
O14965,Q9HCH5
Q13426,Q96T60
Q02833,Q15554
Q8N5I2,Q6URK8
Q9Y615,P43365
O15524,P43357
Q8IX03,Q9Y6H5
P61254,Q9H5V7
P42566,Q9HD20
P17535,O14936
P37108,Q9NQZ5
Q96A47,Q9Y6N9
Q8WV22,Q9Y343
Q14258,P43629
Q8WTX7,P18615
Q86U17,Q8IVF4
Q8N8M0,Q8NHG8
P47989,P07998
Q8NEG7,Q9UHJ6
Q99575,Q5VZY2
P39905,P51800
Q92674,P51116
Q12948,P62273
Q6NUM9,Q9BPU6
P78381,Q01196
P62304,Q92800
O60603,Q96PB7
P46976,Q9BZA7
O60232,P81274
P22223,Q7L2E3
P25063,P05230
Q96KJ9,Q9H446
Q5VW00,Q86UK5
O43570,Q9BZ68
Q15773,Q9P0N8
Q00994,Q6NSI4
P49915,Q7Z6G3
P05107,P51160
O43633,Q9UGN5
Q96F86,Q13422
Q5T4S7,Q9NYA1
Q9UBC3,Q9UP83
Q9H467,Q13422
Q96GG9,P61081
O43586,Q8WVK2
Q8WUI4,P07951
Q8N653,Q66GS9
Q9BQB6,A6NI28
O43541,Q99665
Q13332,P29323
P09012,Q53T94
Q8NHZ8,Q14520
Q9UKY1,Q14204
P23258,Q14558
O60927,P12644
P46020,Q96DZ1
P25208,Q9ULD6
Q9NYY3,P30876
Q2TBA0,P54803
P49792,P12830
Q13009,P08575
O43395,Q06643
Q96T68,Q9UJY5
Q9H269,P57796
Q8IX03,Q99504
Q14896,O15527
O15061,P31512
Q9UBF6,Q7Z6L1
Q9ULX6,Q8TEU7
P25391,P49674
P20336,Q9Y228
Q9BSM1,Q99608
Q15007,Q5VWG9
O43766,P12980
P31371,P22794
Q9BVP2,P25063
P53992,Q9UHB4
Q04721,P55899
Q8N1K5,Q9P2L0
P46063,Q7Z6M2
P01100,Q8WX93
Q6IE37,Q7L9L4
P08581,Q96BI3
P50150,Q92819
P61088,P47985
Q8TET4,Q7Z392
Q15561,Q8IXK0
P31269,P33897
P10646,P54253
Q8NEV4,Q9BYG3
Q13569,Q96RJ3
O75348,P26196
Q9NWB7,Q9Y5B8
C9JFL3,P18887
Q96RY7,P16615
P52945,Q14691
P32246,Q86W42
Q9UJY4,Q8N201
Q96T66,Q96ST3
Q93045,Q13326
Q9Y5Y9,Q92499
P68402,Q7KZF4
P49427,Q8N5F7
O00308,Q9BUE0
Q9HD20,Q13164
P01236,P23193
Q2T9J0,O96017
Q9Y5Y9,P24278
P10914,Q92882
Q05DH4,Q5XUX1
O60447,Q66K89
Q969U6,Q9UQG0
Q9BUB7,Q07955
P62979,Q92956
O14929,Q13950
O15164,P48594
Q9NZP8,P09913
P59046,Q9UKP3
A6NFY4,Q9H8T0
P21397,Q14397
Q86UE6,Q9NSC2
Q06547,P08235
O60336,Q5JSH3
P06576,P61254
Q9NSC2,Q09161
Q86SZ2,Q13885
Q6P1X5,Q8TF64
O75694,Q9UJT9
O14958,Q96S52
Q9BPZ3,Q9Y4D2
O00562,P17535
Q5I0G3,Q15746
Q9Y6B2,Q8NHU6
O60641,P61586
P22736,O43889
P22459,Q9UGL1
P30838,O00255
P50461,Q9UH99
P46108,O15514
O60641,Q8TEB1
P37231,P18077
Q9NZM3,O14939
O60701,Q9Y271
P22303,O94788
Q7Z6G3,Q16621
Q14011,Q96D31
Q9Y6Q5,Q9UBI6
A1A5B4,O14936
P84077,Q96AE4
O00571,Q8NDV3
Q99618,Q9Y2J4
Q13017,P51617
P29350,Q8NHY6
Q96IC2,O95251
P29692,Q7RTY8
Q9UMS0,O96019
P20073,Q14596
Q5UIP0,Q8N6C5
Q01740,Q8IZP1
Q9UBT6,P59780
O75154,P09936
Q05209,Q9HCJ0
Q9H3P2,Q6PCD5
P57678,Q96RU2
P62314,Q5T124
P29459,Q12888
Q8TCB0,O43914
O43865,Q9NRY4
Q9HCL2,Q9H6S0
A6NLU0,A2A3N6
Q68DC2,Q12864
Q15700,P98177
Q9P2S6,P35590
O43464,Q9Y3B2
O14744,O60315
Q9NX05,P22626
O75956,O14672
Q9Y624,O00189
O95180,O94898
Q12884,P48730
Q08209,P33260
Q96AJ9,Q9NXK8
Q8TBY9,Q96MB7
P08949,P78344
Q8IY92,Q6P2C8
Q9BRG1,O95749
O75110,Q9BXT4
P23588,O15160
Q6ZW61,P11308
O95625,Q9NW82
P47755,Q8WWW0
Q13901,P05120
P06396,Q8NET6
O43593,Q9NR30
Q8IWS0,Q7Z7C8
P01133,Q9P086
Q13098,Q6NVH7
Q9HCC0,Q12778
P48058,Q9ULT6
P61244,Q6UWL2
Q99612,O75563
P49790,Q9UL33
P23229,O75593
P83436,P10909
Q13387,O00469
Q5VZL5,Q6ZMK1
Q9Y2D5,Q9NYF0
O95721,Q8WWX0
P38484,Q96RU3
Q96H22,Q5VSY0
P78508,Q96MF7
P45379,P35659
P78537,P54105
Q9BY49,P58557
Q2T9J0,P15018
Q9NR19,Q8NBS3
Q13409,P31994
Q15633,Q9HAV4
P55210,P01019
O43615,O15440
P78545,Q96K78
P30622,Q8N2F6
P51617,Q8N3J3
Q9NRF9,O75586
Q9H5L6,P10515
Q16666,P11684
Q14032,P46821
P20908,Q9NY65
Q9BVW5,P26651
Q6P2E9,Q02297
O60896,O15040
Q6ZQQ2,P26651
Q9NRD8,Q92934
Q9Y294,Q8TAV3
Q9HCJ0,O14734
O15294,O75971
P00751,O43157
Q8TED0,Q8WTW4
O96019,Q9NVV4
O43745,Q92540
Q9C005,Q00796
O43680,P17275
Q9H0Y0,Q96S96
Q9HD47,O15533
P07437,Q96JH7
O43617,Q6JEL2
P52757,Q9GZZ9
P0CG29,P17213
P27635,Q7Z4H7
O75094,A6NMZ7
P12956,P49792
Q99719,Q96H20
P27797,P22314
Q9H6S1,Q9NRD0
P29083,Q9UKG9
P0C0S5,P10589
O60330,Q8WXA8
P62834,Q9BTT4
P57740,Q96DN0
Q03113,Q9HBH7
O76050,P49619
O15344,O43809
Q6PJG6,Q8N7H5
P35221,Q5VZ89
O94991,O43914
Q96F07,Q9BW92
Q9Y6Q2,Q00722
P54136,P61952
O14910,Q99542
Q06124,P15880
A0A0G2JMD5,Q8ND76
P41217,Q8WTV0
Q7KZ85,Q14019
Q9NXS3,P55039
Q8WU90,P51957
P61019,P81408
O00178,Q9NV70
P48444,P50151
P62834,P04114
Q8N608,Q01362
Q5W0Q7,Q13503
P61026,Q8IZT6
P52294,Q8NHL6
Q02447,P50553
P04150,P21796
Q96S96,Q14344
P24386,Q9BPX3
Q9BVI4,O14646
Q96T58,O94864
Q9UJ41,Q9ULD0
P23497,P27037
P30273,Q14164
Q9BYV9,P01583
P84095,Q9NVD3
Q8WVK2,Q709C8
Q9NW82,Q00994
Q9Y3A3,Q9Y271
Q8N4U5,P05198
O00602,Q9C086
Q0VAA2,Q6P4R8
Q8N684,Q9NZL9
Q9UJM3,P41236
Q66K74,P27487
O43865,Q70EL4
Q8TEQ6,P55895
Q9BRG1,Q5MIZ7
P52657,Q8WXI9
P20138,P63096
O75616,Q6ZRV2
Q9UKV8,Q05397
P61764,P07949
O75928,O00422
P62508,Q96PM5
Q96MB7,P30556
Q9H446,Q8IZQ8
O75363,Q7Z5P4
Q13287,P18075
Q99958,Q9NZN8
P05089,Q96HL8
P60842,Q02556
Q9NSG2,O43602
Q99767,Q9UHK6
P12081,O95639
P41227,P15056
P56537,O94972
Q9BTX7,P48147
Q96T66,Q92956
Q92754,O15194
Q75N03,O15273
Q8NEU8,Q9HAT8
Q9UKF5,Q16666
O75112,Q14241
P43365,O75626
Q6UX41,Q93009
P09917,Q6ZMR3
P05023,Q6ZRV2
P10588,Q96IZ0
Q05397,O15446
Q86YS3,Q16543
Q9GZQ3,O95343
Q9BY49,Q9NRD0
O43364,P17342
Q8NCM8,Q9NSD9
P19105,P62136
P09237,O00291
Q8TD84,Q9BRX8
Q9Y6K9,Q13115
Q15672,O95613
P51636,P24928
P15382,Q6ZTQ3
Q9P2D1,Q07157
Q9UKI8,Q00796
O15228,Q99575
P25024,Q9NQ75
O60884,Q9Y6Q9
P02760,P08579
Q9C0I4,O15162
Q02241,O00192
Q9Y2A7,Q3V5L5
Q9Y3E7,P29323
P13056,Q6SPF0
Q16586,Q13362
P26951,Q53G59
Q6QNK2,Q96Q05
Q8IZT6,Q9UBL6
Q96F81,Q9BY67
P06850,Q9Y6Q1
Q8NBQ5,P29274
Q92562,P12544
O95677,P53779
P63261,P43630
Q9H9Q4,P35368
Q8IVV2,P19237
O75865,Q5TDH0
O60749,P40926
P57772,Q9UI12
Q8WUJ3,P15735
P63027,P51575
O14810,P28908
O60675,Q8NE62
P23193,P20248
Q9NWQ8,P09238
Q969M3,Q99536
P48960,Q16099
Q969F2,Q9UKJ3
Q9UGK8,P02647
Q9NUP9,Q5TKA1
Q53H76,Q9Y580
O43187,P55773
P33681,Q06710
P61289,O75923
Q05586,Q96T68
O43364,P21860
Q13123,P78324
O75072,Q9BW83
Q8WWM7,P51878
Q96DX5,Q14563
P61966,Q9H633
O14920,Q9H6D7
P12956,Q8N3R9
Q9Y2Y9,Q9HBX9
Q9UQ35,Q12882
Q9UI32,P41002
P56817,P07951
Q13523,Q9Y5X4
Q8NFY4,P54764
P05108,P24593
Q5JS13,P60880
Q9NPI8,Q12860
Q9HB71,Q9UHN1
Q9Y5A7,P61626
Q14722,O75410
Q9NSK0,P49720
Q9BXC9,Q9UHK6
Q9NR64,Q9NZN3
Q12816,P50151
Q92945,Q9NS69
Q8TE73,P19429
Q9BZL4,Q14194
O15409,Q8WXD5
Q00597,Q92837
Q9Y2A7,Q6UX41
P87889,P12644
P50552,Q8N5Y2
Q9Y5R8,Q969W9
Q05519,Q9NP71
Q16533,Q86X27
Q16787,Q9H0F6
O75600,Q7L014
Q14558,Q03426
Q9H5U6,P32189
P25774,P14415
Q9Y2Y1,Q02241
Q5XX13,O00287
O96013,P69849
P56715,P05387
P57071,Q16512
Q6PKG0,P05091
