Column1,Column2
P35225,P55265
Q00536,Q6PJ61
P18545,Q9HB19
O43303,Q16531
P05386,Q9UJT2
Q7L190,P41180
Q9BX59,Q6ZMK1
Q9BQG0,P01732
P28300,P35368
Q96MT8,P51452
Q02952,O15027
O43242,Q99750
O00311,Q9C0J8
P01308,Q08499
Q07011,Q92466
Q99665,Q86U42
P0DPB6,P42684
Q99952,Q13838
Q9UNN5,Q9BQ15
Q66K89,Q15834
P36897,Q96CN9
P42025,P14625
Q15022,Q9H3P2
P20618,Q8NFG4
P0C0S5,O60832
P04626,Q16740
P11532,P10606
P29460,Q15910
P20151,Q00839
P32942,P16104
P15407,O15539
O60610,Q9NRR4
Q96JK9,P08758
P05387,Q15046
Q14151,Q14512
Q9UHW5,P28749
Q9C026,Q969G3
Q99519,Q10570
Q9Y3B2,Q99871
Q9P0V3,Q96JB2
Q8IX03,P50914
P29084,Q6VY07
Q16623,P27540
P42566,Q9UM13
Q3SYG4,P49418
Q7Z569,Q9NXX6
P23526,P31314
Q14498,P11473
Q9H944,P10155
Q15424,Q9H6Z4
Q9H165,Q13425
Q9UQF2,P01112
Q9Y566,Q14116
P10588,P67870
Q8TDU9,Q9UL46
Q9UKT9,Q8TAG9
Q53EL6,Q12933
Q9Y279,Q9UHR5
Q9BUG6,P33240
Q9UIF7,Q92802
Q15311,O14818
P50616,Q86TG7
Q9Y615,Q9UHF0
Q5T4W7,Q9HAT0
Q9H9C1,O43597
Q8TD31,Q14781
Q6P1J9,O95503
P26640,Q01081
P31269,Q15257
Q15173,O00311
Q92845,P11309
P23945,Q9BTC8
Q7Z406,Q9UQM7
Q3SYG4,Q15672
Q99569,O60603
Q9UKT8,Q9BQG0
Q13651,Q96EK5
Q9Y679,O15534
P43034,Q15120
Q9UGJ0,Q13131
Q96IT1,Q8TDB6
P32246,O75840
P05067,Q9UM73
Q14204,Q12846
Q9HCH5,O14908
P26651,Q9H6R0
P61587,P08100
O43521,O14737
O76031,P36543
P30154,P06400
Q99959,P54727
Q9Y496,P43626
Q15139,P20585
O43741,P55089
Q92966,Q96MT8
Q8N2W9,Q96F07
Q9UM13,Q9UBT6
Q13363,O15539
P48058,Q9BY67
P98077,P30273
P21675,P32239
Q92985,Q99466
Q13191,Q8TDR0
P25054,O43242
Q9H792,P17181
P46777,P51170
Q8NFH4,Q9BUB5
O15360,Q13574
P04114,Q8N3X1
Q14005,Q14192
Q14582,P10809
P07437,Q9Y4K3
P30291,Q96QT6
Q10570,Q9BXC9
